"record_category,gender,age_group,event,athlete,club,performance,venue,record_date"
"State Record,Male,Open,High Jump,D. Anderson,MLV,2.31m,Perth,1992-03-08"
"State Record,Male,U20,High Jump,M. Allen,BEL,2.20m,Perth,1985"
"State Record,Male,U20,High Jump,J. Pozzi,UWA,2.20m,,1996"
"State Record,Male,U18,High Jump,D. Anderson,MLV,2.15m,Perth,1982-01-02"
"State Record,Male,U16,High Jump,D. Anderson,MLV,2.12m,Perth,1981-11-21"
"State Record,Male,U14,High Jump,R. Williams,WA,1.83m,Sydney,2006"

"State Record,Male,Open,Pole Vault,Steve Hooker,WA,6.06m,Boston,2009-02-07"

"State Record,Male,U20,Pole Vault,Paul Burgess,SSN,5.60m,Perth,1998-02-07"

"State Record,Male,U18,Pole Vault,Sasha Zhoya,WA,5.56m,Sydney,2019-04-01"

"State Record,Male,U16,Pole Vault,Sasha Zhoya,WA,4.92m,Sydney,2017"

"State Record,Male,U14,Pole Vault,Sasha Zhoya,WA,3.55m,Melbourne,2015"


"State Record,Male,Open,Long Jump,S. Hair,AUST,8.24m,Spain,1999-08-28"


"State Record,Male,U20,Long Jump,R. Moore,COB,7.80m,Perth,1993-12-04"


"State Record,Male,U18,Long Jump,R. Moore,COB,7.65m,Perth,1991"


"State Record,Male,U16,Long Jump,R. Moore,COB,7.08m,Perth,1990-03-11"


"State Record,Male,U14,Long Jump,A. Lipari,WA,6.31m,Brisbane,2003"



"State Record,Male,Open,Triple Jump,P. May,NED,17.02m,Mexico,1968"



"State Record,Male,U20,Triple Jump,J. Baguley,MLV,16.13m,Perth,1959-02-07"



"State Record,Male,U18,Triple Jump,D. James,PTC,15.84m,Perth,2019-11-23"



"State Record,Male,U16,Triple Jump,S. Cassey,KAR,14.59m,Perth,1987-12-13"



"State Record,Male,U14,Triple Jump,A. Nowrojee,KAR,12.92m,Perth,1986-03-01"




"State Record,Male,Open,Discus,J. Hancy,CUT,59.30m,Perth,1991-02-13"




"State Record,Male,U20,Discus,B. Laidler,CUT,58.42m,Perth,1987-01-24"




"State Record,Male,U18,Discus,B. Laidler,CUT,63.76m,Perth,1986-03-01"




"State Record,Male,U16,Discus,B. Laidler,CUT,69.48m,Perth,1984-01-15"




"State Record,Male,U14,Discus,R. Anderson,WA,48.31m,Adelaide,2014"





"State Record,Male,Open,Shot Put,Courtney Heinze,CUT,18.73m,Perth,2020-02-23"





"State Record,Male,U20,Shot Put,Robert Marchesi-Scott,UWA,19.07m,Perth,2024-12-14"





"State Record,Male,U18,Shot Put,Robert Marchesi-Scott,UWA,20.48m,Perth,2022-10-16"





"State Record,Male,U16,Shot Put,Etienne Rousseau,WATC,19.53m,Perth,2018-12-20"





"State Record,Male,U14,Shot Put,Luca Prokscha,WA,17.46m,Perth,2023-12-08"






"State Record,Male,Open,Javelin,O. Dziubak,WAIS,82.79m,Melbourne,2004-02-12"






"State Record,Male,U20,Javelin,A. Hall,WA,74.66m,Perth,2001-03-04"






"State Record,Male,U18,Javelin,Cruz Hogan,WA,75.78m,Perth,2011-12-09"






"State Record,Male,U16,Javelin,A. Hall,CUT,67.16m,Perth,1998-03-01"






"State Record,Male,U14,Javelin,J. Msando,WA,51.56m,Townsville,2013"







"State Record,Male,Open,Hammer,Demetri Dionisopoulous,CUT,68.42m,Melbourne,1994-01-24"







"State Record,Male,U20,Hammer,Robert Marchesi-Scott,UWA,62.17m,Perth,2024-11-08"







"State Record,Male,U18,Hammer,Robert Marchesi-Scott,,66.81m,Perth,2022-11-26"







"State Record,Male,U16,Hammer,Robert Marchesi-Scott,WATC,65.35m,Perth,2020-11-18"







"State Record,Male,U14,Hammer,Jayden Fenn,BUN,51.15m,Melbourne,2025-12-07"








"State Record,Male,Open,Decathlon,P. Winter,UWA,8084 pts,Sydney,1996-03-10"








"State Record,Male,U20,Decathlon,Jack Whiteside,ING,7440 pts,Peru,2024-08-30"








"State Record,Male,U18,Decathlon,Sasha Zhoya,MEL/R,7271 pts,Perth,2019-01-12"
