"record_category,gender,age_group,event,athlete,club,performance,venue,record_date"
"State Record,Male,Open,4x100m,""P. Edmiston; P. Greene; N. Ward; D. Capobianco"",CUT,39.51,Perth,1992"
"State Record,Male,U20,4x100m,""J. Billington; M. McKenzie; C. Borowski; C. Miller"",WA,41.42,Sydney,2014"
"State Record,Male,U18,4x100m,""M. Zilm; J. Smith; B. Crowe; R. Williams"",WA,41.78,Sydney,2007"
"State Record,Male,U16,4x100m,""Michael Coetzee; Kai Gale; Jordan Hamilton; Josiah John"",WA,42.23,Adelaide,2022"
"State Record,Male,U14,4x100m,""J. Msando; J. Gallaugher; A. Pelser; T. Kelly"",WA,45.32,Townsville,2014"

"State Record,Male,Open,4x200m,""A. McManus; P. Greene; N. Ward; D. Capobianco"",CUT,1:24.11,Perth,1990"

"State Record,Male,U20,4x200m,""A. McManus; R. Mapstone; B. Collins; D. Capobianco"",CUT,1:29.7,Perth,1988"

"State Record,Male,U18,4x200m,""Brody Oliver; Ethan Morton; Kieran Cutress; Luke Weber"",WA,1:30.22,Brisbane,2026"

"State Record,Male,U16,4x200m,""Brody Oliver; Ethan Morton; Kieran Cutress; Luke Weber"",WA,1:30.22,Brisbane,2026"


"State Record,Male,Open,4x400m,""B. Acres; D. Stack; D. Capobianco; K. Finn"",WA,3:06.96,Brisbane,1993"


"State Record,Male,U20,4x400m,""D. Stack; H. Pozzi; R. Moore; T. Davey"",WA,3:15.85,Perth,1992"


"State Record,Male,U18,4x400m,""Eaton; Brown; Simon; Marlow"",WA,3:21.07,Melbourne,2001"


"State Record,Male,U16,4x400m,""T. Cross; J. Hamilton; K. Ascoli; B. Abdelrahim"",WTC,3:26.42,Perth,2021"


"State Record,Male,U14,4x400m,""J. Ferguson; J. Green; A. Collins; D. Skirving"",BEL,4:08.70,Perth,1985"



"State Record,Male,Open,4x1500m,""Ky Hehir; A. Meldon; Matt Smith; Luke Burrows"",WA,16:01.58,Perth,2022"



"State Record,Male,U20,4x1500m,""Jonah Hanikeri; Tony Thomas; Caleb Di Toro; Jamie Deane"",UWA,16:44.05,Perth,2022"



"State Record,Male,U18,4x1500m,""Jonah Hanikeri; Tony Thomas; Caleb Di Toro; Jamie Deane"",UWA,16:44.05,Perth,2022"



"State Record,Male,U16,4x1500m,""Jonah Hanikeri; Tony Thomas; Caleb Di Toro; Jamie Deane"",UWA,16:44.05,Perth,2022"
