"record_category,gender,age_group,event,athlete,club,performance,venue,record_date"
"State Record,Male,Open,100m,R. Mapstone,CUT,10.17,Perth,1996-01-28"
"State Record,Male,U20,100m,Josia John,UWA,10.40,Perth,2025-03-28"
"State Record,Male,U18,100m,Sasha Zhoya,WA,10.41,Switzerland,2019-06-30"
"State Record,Male,U16,100m,James Gallaugher,MLV,10.89,Perth,2014-10-31"
"State Record,Male,U14,100m,James Gallaugher,WA,11.36,Townsville,2013"

"State Record,Male,Open,200m,Dean Capobianco,CUT,20.18,Brisbane,1993-08-20"

"State Record,Male,U20,200m,Sasha Zhoya,WA,20.68,France,2020-09-13"

"State Record,Male,U18,200m,Josia John,UWA,20.87,Queensland,2024-12-07"

"State Record,Male,U16,200m,Sasha Zhoya,MLV,21.45,Perth,2017-10-29"

"State Record,Male,U14,200m,James Gallaugher,WA,21.73,Townsville,2013"


"State Record,Male,Open,400m,Ben Offereins,WA,44.86,Sydney,2010-02-27"


"State Record,Male,U20,400m,Ben Offereins,WA,46.37,Sydney,2005-03-05"


"State Record,Male,U18,400m,Chris Troode,MLV,47.44,Sydney,2000-02-12"


"State Record,Male,U16,400m,Kieran King,WA,48.42,Sydney,2006-12-09"


"State Record,Male,U14,400m,Luke Weber,ING,50.43,Melbourne,2025-12-06"



"State Record,Male,Open,800m,Peter Bol,AWI,1:43.79,Perth,2025-04-13"



"State Record,Male,U20,800m,Barry Acres,UWA,1:48.37,Adelaide,1983"



"State Record,Male,U18,800m,Luke Shaw,WA,1:49.86,Gold Coast,2018"



"State Record,Male,U16,800m,Jamie Deane,UWA,1:52.99,Adelaide,2022-12-09"



"State Record,Male,U14,800m,Zac Holmes,WA,2:00.47,Brisbane,2003"




"State Record,Male,Open,1500m,Jesse Hunt,WA,3:33.64,Georges Hall NSW,2024-02-22"




"State Record,Male,U20,1500m,Matthew Ramsden,AUS,3:42.97,Germany,2016-06-25"




"State Record,Male,U18,1500m,C. Miller,JTC,3:48.33,Perth,2012-11-09"




"State Record,Male,U16,1500m,Jamie Deane,WA,3:54.33,Perth,2022-11-20"




"State Record,Male,U14,1500m,Luke Graves,WA,4:14.25,Hobart,2002"





"State Record,Male,Open,1 Mile,Matthew Ramsden,AUS,3:51.23,San Donato Milanese,2020-09-05"





"State Record,Male,U20,1 Mile,Matthew Ramsden,AUS,3:59.80,Oregon,2017-05-27"






"State Record,Male,Open,3000m,Matthew Ramsden,AUS,7:35.65,Gateshead England,2021-07-13"






"State Record,Male,U20,3000m,Ky Hehir,PTF,8:04.40,Perth,2024-08-09"






"State Record,Male,U18,3000m,Ky Hehir,UWA,8:11.4h,Perth,2023-04-05"






"State Record,Male,U16,3000m,Brandon Ford,JTC,8:31.63,Perth,2018-11-16"






"State Record,Male,U14,3000m,Brandon Ford,JTC,9:10.41,Perth,2016-12-02"







"State Record,Male,Open,5000m,Matthew Ramsden,WA,13:16.63,Sweden,2020-08-29"







"State Record,Male,U20,5000m,Matthew Ramsden,WA,14:01.89,Tasmania,2016-02-13"







"State Record,Male,U18,5000m,Brandon Ford,JTC,14:35.48,Perth,2020-11-18"








"State Record,Male,Open,10000m,Ray Boyd,SSN,28:50.20,Melbourne,1995-12-14"








"State Record,Male,U20,10000m,Brandon Ford,JTC,30:30.32,Perth,2022-11-12"









"State Record,Male,Open,Half Marathon,Nic Harman,WA,1:03.46,Cardiff,2018"










"State Record,Male,Open,Marathon,Ray Boyd,SSN,2:13:26,Chicago,1981-06-20"
